id;name;family;birthday;pub_date;gender;breed;shelter;taken_home;in_favorites;take_a_walk;take_a_home;visit_counter;raiting
58;_____;cat;29.03.2014;None;female;___ ______;5;TRUE;0;0;1;0;0
59;____;cat;17.04.2013;None;male;___ ______;5;TRUE;0;0;1;0;0
60;____;cat;08.09.2011;None;female;___ ______;5;TRUE;6;0;1;0;0
61;____;cat;12.03.2014;None;male;___ ______;5;TRUE;6;0;1;0;0
62;_____;cat;17.09.2014;None;female;_____ ________;1;TRUE;22;0;1;0;0
63;_____;cat;10.09.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
64;_______;cat;21.09.2011;None;male;___ ______;5;TRUE;0;0;1;0;0
65;_____;cat;05.05.2015;None;male;___ ______;5;TRUE;0;0;1;0;0
66;______;cat;30.09.2014;None;female;___ ______;1;TRUE;0;0;1;0;0
67;______;cat;18.09.2008;None;female;_________ _____;1;TRUE;0;0;1;0;0
68;___ ___;cat;09.05.2012;None;male;___ ______;1;TRUE;1;0;1;0;0
69;_____;cat;04.10.2015;None;female;___ ______;1;TRUE;1;0;1;0;0
70;_____;cat;10.06.2015;None;female;___ ______;1;TRUE;2;0;1;0;0
71;______;cat;10.11.2010;None;male;___ ______;4;TRUE;0;0;1;0;0
72;____;cat;13.03.2016;None;female;___ ______;4;TRUE;0;0;1;0;0
73;_____;cat;12.10.2007;None;female;___ ______;4;TRUE;0;0;1;0;0
74;_______;cat;05.09.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
75;_____;cat;06.06.2016;None;female;___ ______;4;TRUE;0;0;1;0;0
76;__________;cat;12.05.2014;None;female;___ ______;1;TRUE;2;0;1;0;0
77;_____;dog;10.11.2015;None;female;___ ______;6;TRUE;35;4;1;0;0
78;______;dog;10.10.2013;None;female;___ ______;6;TRUE;12;2;1;0;0
79;______;cat;15.04.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
80;______ ___;cat;23.10.2013;None;female;___ ______;4;TRUE;0;0;1;0;0
81;________;cat;09.09.2014;None;male;____-___;1;TRUE;1;0;1;0;0
82;_____;cat;05.05.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
83;_________;cat;21.11.2014;None;female;___ ______;5;TRUE;0;0;1;0;0
84;______;cat;10.10.2013;None;female;___ ______;5;TRUE;0;0;1;0;0
85;______;cat;09.10.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
86;________;cat;16.11.2014;None;female;___ ______;1;TRUE;2;0;1;0;0
87;______;cat;30.05.2015;None;male;___ ______;1;TRUE;0;0;1;0;0
88;______;dog;14.05.2014;None;male;___ ______;6;TRUE;68;2;1;0;0
89;____;dog;10.03.2016;None;male;___ ______;6;TRUE;5;1;1;0;0
90;____;dog;01.11.2015;None;male;___ ______;6;FALSE;44;0;0;0;0
91;_______;cat;05.02.2016;None;female;___ ______;5;TRUE;2;0;1;0;0
92;_____;cat;05.06.2015;None;female;___ ______;1;TRUE;1;0;1;0;0
93;_____;dog;23.09.2015;None;male;___ ______;6;TRUE;72;1;1;0;0
94;___;dog;18.06.2015;None;male;___ ______;6;FALSE;63;3;0;0;0
95;____;dog;14.02.2015;None;female;___ ______;6;FALSE;34;1;0;0;0
96;_______;cat;02.12.2011;None;female;___ ______;1;FALSE;0;0;0;0;0
97;______;cat;03.04.2013;None;male;___ ______;4;TRUE;0;0;1;0;0
98;____;cat;09.11.2013;None;male;___ ______;4;TRUE;0;0;1;0;0
99;____;cat;10.11.2014;None;female;___ ______;5;TRUE;4;0;1;0;0
100;_________;cat;09.10.2014;None;female;___ ______;5;TRUE;4;0;1;0;0
101;________;cat;12.11.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
102;______;cat;05.11.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
103;_________;cat;21.07.2016;None;female;___ ______;5;TRUE;0;0;1;0;0
104;____;cat;04.06.2015;None;male;___ ______;4;TRUE;0;0;1;0;0
105;____;cat;24.05.2015;None;female;___ ______;5;TRUE;10;0;1;0;0
106;______;cat;19.10.2014;None;male;___ ______;5;TRUE;5;0;1;0;0
107;_____;cat;06.10.2015;None;female;___ ______;1;TRUE;2;1;1;0;0
108;______;cat;08.08.2014;None;female;___ ______;1;TRUE;0;0;1;0;0
109;____;cat;11.12.2015;None;male;___ ______;4;TRUE;0;0;1;0;0
110;_____;cat;07.11.2015;None;female;___ ______;5;TRUE;37;0;1;0;0
111;_____;cat;15.02.2016;None;male;___ ______;5;TRUE;4;0;1;0;0
112;______;cat;10.12.2014;None;female;___ ______;5;TRUE;0;0;1;0;0
113;_________;cat;15.06.2014;None;female;___ ______;5;TRUE;9;0;1;0;0
114;_______;cat;16.10.2011;None;female;___ ______;5;TRUE;18;2;1;0;0
115;_____;cat;09.09.2015;None;male;___ ______;1;TRUE;1;0;1;0;0
116;________;cat;21.07.2014;None;male;___ ______;5;TRUE;21;0;1;0;0
117;______;cat;18.12.2014;None;female;___ ______;5;TRUE;4;0;1;0;0
118;_____;cat;12.06.2015;None;female;___ ______;1;TRUE;20;1;1;0;0
119;_______;cat;15.10.2012;None;female;___ ______;1;FALSE;4;0;0;0;0
120;________;cat;10.10.2015;None;female;___ ______;1;TRUE;1;0;1;0;0
121;______;cat;29.12.2014;None;male;___ ______;5;TRUE;4;0;1;0;0
122;____;cat;20.12.2014;None;male;___ ______;5;TRUE;10;10;1;0;0
123;____;cat;01.07.2015;None;male;___ ______;5;TRUE;30;1;1;0;0
124;______;cat;02.01.2014;None;female;___ ______;5;TRUE;1;1;1;0;0
125;_____;cat;05.08.2014;None;male;___ ______;1;TRUE;1;5;1;0;0
126;_____;cat;07.08.2015;None;female;___ ______;1;TRUE;3;0;1;0;0
127;____;cat;20.09.2013;None;male;_______ _______;4;TRUE;3;0;1;0;0
128;________;cat;22.09.2013;None;male;___ ______;4;TRUE;1;0;1;0;0
129;______;cat;20.10.2014;None;female;___ ______;4;TRUE;8;1;1;0;0
130;____;cat;02.08.2011;None;female;___ ______;4;TRUE;2;0;1;0;0
131;______;cat;15.08.2014;None;female;___ ______;4;TRUE;0;0;1;0;0
132;_____;cat;12.09.2013;None;male;___ ______;1;TRUE;4;0;1;0;0
133;_______;cat;20.09.2013;None;female;___ ______;5;TRUE;2;0;1;0;0
134;______;cat;20.09.2012;None;female;___ ______;5;TRUE;15;0;1;0;0
135;____;cat;20.08.2015;None;male;___ ______;5;TRUE;12;2;1;0;0
136;______;cat;20.05.2016;None;male;___ ______;1;TRUE;6;0;1;0;0
137;_________;cat;20.10.2015;None;female;___ ______;1;TRUE;3;0;1;0;0
138;_______;cat;20.11.2012;None;male;___ ______;1;TRUE;28;0;1;0;0
139;______;cat;01.02.2015;None;female;___ ______;5;TRUE;13;0;1;0;0
140;____;cat;20.09.2010;None;male;___ ______;5;TRUE;16;0;1;0;0
141;______;cat;20.09.2014;None;female;___ ______;5;TRUE;3;0;1;0;0
142;____;cat;01.02.2016;None;female;___ ______;4;TRUE;2;0;1;0;0
143;___;cat;02.02.2014;None;female;___ ______;4;TRUE;0;0;1;0;0
144;_______;cat;01.01.2013;None;female;___ ______;4;TRUE;3;0;1;0;0
145;____;cat;02.02.2007;None;male;___ ______;4;TRUE;2;0;1;0;0
146;______;cat;02.01.2015;None;male;___ ______;5;TRUE;12;1;1;0;0
147;_______;cat;02.01.2015;None;male;___ ______;5;TRUE;13;1;1;0;0
148;___-______;cat;09.01.2012;None;male;___ ______;7;TRUE;5;0;1;0;0
149;____;cat;05.05.2009;None;female;___ ______;8;TRUE;12;0;1;0;0
150;______;cat;22.02.2011;None;male;__________ _______;7;TRUE;17;0;1;0;0
151;____;cat;02.06.2013;None;male;_______;7;TRUE;12;1;1;0;0
152;_________;cat;02.03.2009;None;male;____-___;7;TRUE;9;1;1;0;0
153;____-__-e___;cat;02.02.2013;None;male;___ ______;7;TRUE;2;0;1;0;0
154;____ ______;cat;09.09.2008;None;male;______;7;TRUE;8;0;1;0;0
155;_____ __;cat;09.06.2011;None;male;_______-____;7;TRUE;12;0;1;0;0
156;____;cat;09.09.2013;None;female;___ ______;8;TRUE;44;2;1;0;0
157;________;cat;09.09.2010;None;female;___ ______;8;TRUE;16;0;1;0;0
158;______;cat;05.06.2015;None;male;___ ______;1;TRUE;13;0;1;0;0
159;_____;cat;07.07.2015;None;male;___ ______;1;TRUE;1;0;1;0;0
160;____ ____;cat;09.09.2009;None;female;__________;7;TRUE;0;0;1;0;0
161;______ ____;cat;09.09.2009;None;female;__________;7;TRUE;3;0;1;0;0
162;____;cat;09.09.2009;None;female;___ ______;8;TRUE;5;0;1;0;0
163;_______ __;cat;09.09.2009;None;female;_____;7;TRUE;9;1;1;0;0
164;______;cat;20.07.2013;None;male;___ ______;8;TRUE;16;0;1;0;0
165;_____;cat;08.06.2013;None;male;___ ______;7;TRUE;6;0;1;0;0
166;_____;cat;09.04.2014;None;female;___ ______;8;TRUE;16;0;1;0;0
167;________;cat;09.02.2010;None;female;__________;7;TRUE;7;1;1;0;0
168;______;cat;31.12.2009;None;female;__________ ______;7;TRUE;12;0;1;0;0
169;___;cat;09.04.2012;None;female;____;7;TRUE;4;0;1;0;0
170;______ _____;cat;29.07.2012;None;female;_____- ____;7;TRUE;11;4;1;0;0
171;____-____ _____;cat;09.05.2010;None;female;__________;7;TRUE;9;0;1;0;0
172;_______;cat;14.02.2013;None;female;___ ______;5;TRUE;41;2;1;0;0
173;______;cat;22.01.2007;None;male;___ ______;5;TRUE;19;0;1;0;0
174;______;cat;10.02.2012;None;male;___ ______;4;TRUE;4;0;1;0;0
175;_______;cat;20.02.2014;None;female;___ ______;4;TRUE;1;0;1;0;0
176;___;cat;20.02.2015;None;male;___ ______;4;TRUE;3;0;1;0;0
177;______;cat;20.07.2016;None;male;___ ______;1;TRUE;9;0;1;0;0
178;________;cat;03.04.2016;None;female;___ ______;1;TRUE;0;0;1;0;0
179;_____;cat;22.01.2015;None;female;___ ______;5;TRUE;18;0;1;0;0
180;____;cat;22.01.2015;None;female;___ ______;5;TRUE;7;1;1;0;0
181;_____;cat;02.02.2015;None;male;___ ______;5;TRUE;1;0;1;0;0
182;_______;cat;10.04.2016;None;male;___ ______;1;TRUE;1;0;1;0;0
183;____;cat;02.03.2016;None;female;___ ______;1;TRUE;1;0;1;0;0
184;____;cat;03.02.2013;None;female;___ ______;5;TRUE;4;0;1;0;0
185;________;cat;03.03.2014;None;female;___ ______;5;TRUE;1;0;1;0;0
186;_____;cat;20.02.2012;None;male;___ ______;5;TRUE;24;1;1;0;0
187;________;cat;20.02.2015;None;female;___ ______;1;TRUE;4;0;1;0;0
188;_____;dog;20.02.2016;None;female;___ ______;6;TRUE;23;1;1;0;0
189;________;cat;08.03.2014;None;male;___ ______;1;TRUE;2;0;1;0;0
190;_____;cat;03.03.2011;None;male;___ ______;1;TRUE;9;0;1;0;0
191;________;cat;03.05.2016;None;male;___ ______;1;TRUE;2;0;1;0;0
192;_____;dog;02.02.2014;None;male;___ ______;6;TRUE;22;1;1;0;0
193;____;dog;02.03.2014;None;female;___ ______;6;TRUE;19;0;1;0;0
194;______;dog;10.10.2016;None;male;___ ______;6;TRUE;9;0;1;0;0
195;______;cat;20.02.2015;None;female;___ ______;5;TRUE;9;0;1;0;0
196;_____;cat;02.02.2015;None;female;___ ______;5;TRUE;1;0;1;0;0
197;_____;cat;02.02.2012;None;female;___ ______;5;TRUE;19;0;1;0;0
198;_______;cat;20.02.2012;None;female;___ ______;5;TRUE;2;0;1;0;0
199;__________;cat;20.02.2007;None;female;___ ______;5;TRUE;1;0;1;0;0
200;______;cat;20.02.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
201;_____;cat;20.03.2013;None;female;___ ______;4;TRUE;2;0;1;0;0
202;_________ ________;cat;22.02.1999;None;female;___ ______;4;TRUE;5;0;1;0;0
203;____;cat;02.03.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
204;____;cat;20.02.2016;None;female;___ ______;4;TRUE;5;0;1;0;0
205;______;cat;10.03.2016;None;female;___ ______;1;TRUE;3;0;1;0;0
206;____ _____;cat;20.03.2016;None;female;___ ______;1;TRUE;2;0;1;0;0
207;___ _ _______;cat;20.03.2015;None;female;___ ______;9;TRUE;37;3;1;0;0
208;________;cat;10.03.2016;None;female;___ ______;1;TRUE;17;0;1;0;0
209;____;cat;05.10.2016;None;female;___ ______;1;TRUE;5;0;1;0;0
210;____;cat;10.04.2015;None;female;___ ______;1;TRUE;5;0;1;0;0
211;____;cat;20.03.2014;None;male;___ ______;1;TRUE;0;0;1;0;0
212;____;cat;04.07.2016;None;female;___ ______;8;TRUE;8;1;1;0;0
213;______ (____);cat;08.08.2016;None;male;___ ______;8;TRUE;4;0;1;0;0
214;____;cat;20.03.2014;None;female;___ ______;8;TRUE;17;0;1;0;0
215;____;cat;20.07.2016;None;female;___ ______;8;TRUE;37;1;1;0;0
216;_____;cat;10.10.2015;None;male;___ ______;5;TRUE;2;0;1;0;0
217;____;cat;10.10.2016;None;female;___ ______;8;TRUE;3;0;1;0;0
218;_____;cat;04.04.2013;None;female;___ ______;8;TRUE;17;0;1;0;0
219;______;cat;10.04.2016;None;male;___ ______;1;TRUE;7;0;1;0;0
220;_____;cat;20.04.2011;None;female;___ ______;5;FALSE;4;0;0;0;0
221;_______;cat;20.07.2016;None;male;___ ______;9;TRUE;4;1;1;0;0
222;______ _____;cat;20.04.2014;None;male;___ ______;1;TRUE;5;0;1;0;0
223;_____;cat;20.01.2016;None;female;___ ______;1;TRUE;1;0;1;0;0
224;______;cat;04.03.2017;None;female;___ ______;9;TRUE;13;0;1;0;0
225;______;cat;02.03.2016;None;female;___ ______;1;TRUE;12;1;1;0;0
226;____;cat;05.05.2014;None;female;___ ______;4;TRUE;0;0;1;0;0
227;_______;cat;05.05.2014;None;female;___ ______;4;TRUE;0;0;1;0;0
228;________;cat;05.05.2014;None;female;___ ______;4;TRUE;5;0;1;0;0
229;_________;cat;07.04.2016;None;female;___ ______;4;TRUE;10;1;1;0;0
230;______;cat;01.05.2017;None;male;___ ______;4;TRUE;4;0;1;0;0
231;________;cat;05.05.2016;None;male;___ ______;4;TRUE;0;0;1;0;0
233;_________;cat;05.05.2015;None;female;___ ______;4;TRUE;1;0;1;0;0
234;______;cat;08.05.2014;None;male;___ ______;4;TRUE;2;0;1;0;0
235;_____;cat;10.05.2013;None;male;___ ______;1;TRUE;2;0;1;0;0
236;_____;cat;10.05.2011;None;female;___ ______;1;FALSE;4;1;0;0;0
237;_____;cat;05.05.2012;None;female;_______;1;FALSE;4;1;0;0;0
238;_______;cat;02.03.2014;None;male;___ ______;4;TRUE;1;0;1;0;0
239;_______;cat;04.02.2015;None;male;___ ______;1;TRUE;1;0;1;0;0
240;_______;cat;10.12.2017;None;female;___ ______;5;TRUE;11;1;1;0;0
241;______;cat;10.12.2017;None;female;___ ______;5;TRUE;8;0;1;0;0
242;___;cat;10.01.2016;None;male;___ ______;5;TRUE;3;0;1;0;0
243;_____;cat;20.04.2015;None;male;___ ______;1;TRUE;1;0;1;0;0
244;________;cat;15.08.2016;None;female;___ ______;1;TRUE;4;0;1;0;0
245;________;cat;20.05.2014;None;male;___ ______;1;TRUE;5;0;1;0;0
246;_______;cat;02.04.2017;None;male;___ ______;9;TRUE;7;0;1;0;0
247;_______;cat;20.01.2016;None;female;___ ______;5;TRUE;4;0;1;0;0
248;____;cat;03.03.2013;None;male;___ ______;4;TRUE;6;0;1;0;0
249;_______;cat;09.03.2016;None;male;___ ______;4;TRUE;3;0;1;0;0
250;______;cat;05.05.2016;None;female;___ ______;4;TRUE;2;0;1;0;0
251;____;dog;05.06.2016;None;female;___ ______;6;FALSE;56;2;0;0;0
252;________;cat;15.08.2016;None;male;___ ______;1;TRUE;3;0;1;0;0
253;__________;cat;15.09.2016;None;female;___ ______;1;TRUE;3;0;1;0;0
254;_____;cat;20.09.2016;None;female;___ ______;1;FALSE;13;0;0;0;0
255;____;cat;09.03.2015;None;female;___ ______;1;TRUE;5;0;1;0;0
256;____;cat;04.05.2016;None;female;___ ______;4;TRUE;1;0;1;0;0
257;____;cat;20.05.2017;None;female;___ ______;4;TRUE;5;0;1;0;0
258;_____;cat;08.05.2016;None;female;___ ______;10;TRUE;3;0;1;0;0
259;____ ______;cat;20.05.2013;None;female;___ ______;10;FALSE;33;1;0;0;0
260;_____;cat;29.06.2016;None;female;___ ______;10;TRUE;2;0;1;0;0
261;_______;cat;20.03.2015;None;female;___ ______;10;FALSE;25;0;0;0;0
262;_____;cat;05.05.2011;None;male;___ ______;5;TRUE;3;1;1;0;0
263;_____;cat;20.06.2016;None;female;___ ______;1;TRUE;4;0;1;0;0
264;____;cat;20.03.2015;None;male;___ ______;5;TRUE;8;1;1;0;0
265;______;cat;22.02.2015;None;female;___ ______;10;TRUE;3;0;1;0;0
266;_______;cat;05.04.2016;None;female;___ ______;1;TRUE;1;0;1;0;0
267;______;cat;05.06.2015;None;female;___ ______;1;TRUE;1;0;1;0;0
268;____;cat;05.06.2015;None;female;___ ______;10;FALSE;29;0;0;0;0
269;____;cat;20.04.2015;None;male;___ ______;1;TRUE;1;0;1;0;0
270;_____;cat;20.06.2015;None;female;___ ______;9;TRUE;6;0;1;0;0
271;______;cat;20.05.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
272;_______;cat;20.06.2014;None;male;___ ______;1;TRUE;15;0;1;0;0
273;____ ___;cat;20.06.2015;None;female;___ ______;1;TRUE;3;0;1;0;0
274;_____;cat;20.05.2014;None;male;___ ______;1;FALSE;2;0;0;0;0
275;____;cat;20.05.2013;None;female;___ ______;1;FALSE;19;0;0;0;0
276;________;cat;02.12.2016;None;male;___ ______;5;TRUE;11;1;1;0;0
277;______;cat;01.12.2016;None;male;___ ______;5;TRUE;5;0;1;0;0
278;_________;cat;12.12.2016;None;male;___ ______;5;TRUE;5;0;1;0;0
279;_______;cat;20.01.2011;None;female;___ ______;5;TRUE;32;1;1;0;0
280;_____;cat;27.07.2016;None;female;___ ______;4;FALSE;6;0;0;0;0
281;____;cat;20.03.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
282;_________;cat;20.05.2016;None;female;___ ______;1;TRUE;12;0;1;0;0
283;____;cat;20.03.2012;None;female;___ ______;5;TRUE;10;1;1;0;0
284;_______;cat;20.06.2016;None;female;___ ______;1;TRUE;4;0;1;0;0
285;______;cat;02.02.2016;None;male;___ ______;4;TRUE;1;0;1;0;0
286;___;cat;20.08.2014;None;female;___ ______;11;TRUE;1;0;1;0;0
287;_______;cat;20.09.2014;None;female;___ ______;11;TRUE;0;0;1;0;0
288;_______;cat;20.06.2015;None;female;___ ______;5;TRUE;6;0;1;0;0
289;______;cat;20.04.2014;None;male;___ ______;1;TRUE;0;0;1;0;0
290;___ ______;cat;20.07.2009;None;male;___ ______;1;TRUE;0;0;1;0;0
291;_____;cat;20.06.2014;None;female;___ ______;1;FALSE;50;0;0;0;0
292;____;cat;20.03.2014;None;male;___ ______;5;TRUE;1;0;1;0;0
293;_____;cat;20.06.2014;None;male;___ ______;5;TRUE;10;1;1;0;0
294;___;cat;20.02.2016;None;female;___ ______;5;TRUE;2;0;1;0;0
295;______;cat;20.02.2014;None;female;___ ______;5;TRUE;0;0;1;0;0
296;______;cat;20.05.2016;None;male;___ ______;11;TRUE;2;0;1;0;0
297;______;cat;10.02.2017;None;male;___ ______;1;TRUE;2;0;1;0;0
298;_____;cat;20.03.2005;None;female;___ ______;4;TRUE;3;0;1;0;0
299;_____;cat;10.05.2016;None;male;___ ______;4;TRUE;1;0;1;0;0
300;_______;cat;10.07.2013;None;male;___ ______;5;TRUE;2;0;1;0;0
301;____;cat;20.04.2015;None;female;___ ______;1;TRUE;3;0;1;0;0
302;_______;cat;20.04.2016;None;female;___ ______;1;TRUE;1;0;1;0;0
303;______;cat;20.04.2015;None;female;___ ______;5;TRUE;4;1;1;0;0
304;________;cat;05.10.2012;None;female;___ ______;5;TRUE;9;0;1;0;0
305;_____;cat;20.01.2017;None;male;___ ______;5;TRUE;1;0;1;0;0
306;____;cat;10.08.2016;None;female;___ ______;10;TRUE;1;0;1;0;0
307;____;cat;20.05.2015;None;male;___ ______;4;TRUE;3;0;1;0;0
308;_____;cat;20.07.2014;None;female;___ ______;5;TRUE;6;1;1;0;0
309;____;cat;20.07.2016;None;male;___ ______;1;TRUE;1;0;1;0;0
310;____;cat;20.07.2013;None;female;___ ______;4;TRUE;2;0;1;0;0
311;____;dog;10.10.2016;None;female;___ ______;6;FALSE;37;2;0;0;0
312;____;cat;01.05.2016;None;female;___ ______;4;TRUE;4;0;1;0;0
313;_______;cat;20.06.2011;None;male;___ ______;4;TRUE;6;0;1;0;0
314;______;cat;20.07.2016;None;female;___ ______;4;TRUE;1;0;1;0;0
315;______;cat;20.06.2013;None;female;___ ______;4;TRUE;12;0;1;0;0
316;______;cat;10.11.2016;None;male;___ ______;1;FALSE;0;0;0;0;0
317;______;cat;20.03.2017;None;male;___ ______;5;TRUE;0;0;1;0;0
318;_______;cat;20.03.2017;None;male;___ ______;5;TRUE;10;0;1;0;0
319;_________;cat;20.03.2017;None;female;___ ______;5;TRUE;1;0;1;0;0
320;_______;cat;20.03.2017;None;male;___ ______;5;TRUE;4;0;1;0;0
321;_________;cat;20.03.2017;None;female;___ ______;5;TRUE;7;0;1;0;0
322;___;cat;10.10.2017;None;male;___ ______;10;TRUE;11;0;1;0;0
323;______ ____;cat;20.04.2015;None;female;___ ______;10;TRUE;1;0;1;0;0
324;_____;cat;20.05.2014;None;female;________;10;TRUE;15;0;1;0;0
325;____;cat;20.07.2012;None;male;___ ______;10;FALSE;27;0;0;0;0
326;____;cat;20.08.2016;None;male;___ ______;1;TRUE;0;0;1;0;0
327;______;cat;20.12.2016;None;male;___ ______;1;TRUE;0;0;1;0;0
328;____;cat;20.06.2015;None;female;___ ______;12;TRUE;6;0;1;0;0
329;____;cat;20.02.2016;None;male;___ ______;12;TRUE;2;0;1;0;0
330;_____;cat;20.07.2015;None;female;___ ______;5;TRUE;7;1;1;0;0
331;______;cat;10.03.2014;None;female;___ ______;5;TRUE;0;0;1;0;0
332;____;cat;20.05.2015;None;female;___ ______;11;FALSE;2;0;0;0;0
333;_________;cat;02.08.2015;None;female;___ ______;1;TRUE;4;0;1;0;0
334;_________;cat;08.02.2016;None;female;___ ______;1;TRUE;5;0;1;0;0
335;______ _ ______;cat;01.08.2017;None;female;___ ______;11;TRUE;8;0;1;0;0
337;______;cat;20.09.2015;None;female;___ ______;4;TRUE;5;0;1;0;0
338;_____;cat;20.07.2016;None;male;___ ______;4;TRUE;1;0;1;0;0
339;________;cat;10.03.2017;None;male;___ ______;5;TRUE;3;0;1;0;0
340;_____;cat;10.03.2017;None;male;___ ______;5;TRUE;1;0;1;0;0
341;______;cat;10.03.2017;None;male;___ ______;5;TRUE;3;0;1;0;0
342;______;cat;02.07.2012;None;male;___ ______;4;TRUE;3;1;1;0;0
343;________;cat;20.07.2013;None;female;___ ______;5;TRUE;11;0;1;0;0
344;_____;cat;10.09.2016;None;female;___ ______;1;TRUE;8;0;1;0;0
345;______;cat;20.07.2015;None;male;___ ______;12;TRUE;0;0;1;0;0
